dataset,measure,value,region,period,typ
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,2,małopolskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,11,mazowieckie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,-,opolskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,3,podkarpackie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,13,podlaskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,-,pomorskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,-,śląskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,1,świętokrzyskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,5,warmińsko-mazurskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,-,wielkopolskie,2024,
"TABLICA 4 (29). WYPADKI I CHOROBY ZAWODOWE, Z TYTUŁU KTÓRYCH PRZYZNANO JEDNORAZOWE ODSZKODOWANIA WEDŁUG WOJEWÓDZTW",Liczba chorób zawodowych,-,zachodniopomorskie,2024,
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,5526089421,,2024-Q1,EMERYTURY I RENTY OGÓŁEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,4374512274.7,,2024-Q1,Emerytury OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,1151577146.3,,2024-Q1,Renty OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,4374512274.7,,2024-Q1,EMERYTURY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,4057145244.34,,2024-Q1,Emerytury rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,49043938.82,,2024-Q1,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,255131265,,2024-Q1,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,13191826.54,,2024-Q1,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,1151577146.3,,2024-Q1,RENTY RAZEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,910879883.74,,2024-Q1,RENTY Z TYTUŁU NIEZDOLNOŚCI DO PRACY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,61892309,,2024-Q1,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,902764682.38,,2024-Q1,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,484057.51,,2024-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,1527942.9,,2024-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,6103200.95,,2024-Q1,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,240697262.56,,2024-Q1,RENTY RODZINNE RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,4739756.38,,2024-Q1,w tym renty rodzinne wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,231670457.74,,2024-Q1,Renty rodzinne rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,1874245.2,,2024-Q1,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,4983708.58,,2024-Q1,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q1,2168851.04,,2024-Q1,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,5940334227.74,,2024-Q4,EMERYTURY I RENTY OGÓŁEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,4717591212.64,,2024-Q4,Emerytury OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,1222743015.1,,2024-Q4,Renty OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,4717591212.64,,2024-Q4,EMERYTURY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,4414223711.05,,2024-Q4,Emerytury rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,46587414.09,,2024-Q4,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,242976809.98,,2024-Q4,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,13803277.52,,2024-Q4,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,1222743015.1,,2024-Q4,RENTY RAZEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,966527651.52,,2024-Q4,RENTY Z TYTUŁU NIEZDOLNOŚCI DO PRACY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,65629938.6,,2024-Q4,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,958802623.26,,2024-Q4,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,442754.44,,2024-Q4,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,1460002.45,,2024-Q4,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,5822271.37,,2024-Q4,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,256215363.58,,2024-Q4,RENTY RODZINNE RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,5021479.74,,2024-Q4,w tym renty rodzinne wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,246784228.92,,2024-Q4,Renty rodzinne rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,1918395.69,,2024-Q4,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,5211725.76,,2024-Q4,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2024-Q4,2301013.21,,2024-Q4,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,6036176120.71,,2025-Q1,EMERYTURY I RENTY OGÓŁEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,4797203284.42,,2025-Q1,Emerytury OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,1238972836.29,,2025-Q1,Renty OGÓŁEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,4797203284.42,,2025-Q1,EMERYTURY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,4498868566.91,,2025-Q1,Emerytury rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,45948554.59,,2025-Q1,Emerytury za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,238386815.03,,2025-Q1,Emerytury za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,13999347.89,,2025-Q1,Emerytury niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,1238972836.29,,2025-Q1,RENTY RAZEM z tego:
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,979116835.93,,2025-Q1,RENTY Z TYTUŁU NIEZDOLNOŚCI DO PRACY RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,66096211.96,,2025-Q1,w tym renty z tytułu niezdolności do pracy wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,971591980.38,,2025-Q1,Renty rolnicze z tytułu niezdolności do pracy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,443894.28,,2025-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,1418607.69,,2025-Q1,Renty z tytułu niezdolności do pracy za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,5662353.58,,2025-Q1,Renty z tytułu niezdolności do pracy niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,259856000.36,,2025-Q1,RENTY RODZINNE RAZEM
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,5054102.46,,2025-Q1,w tym renty rodzinne wypadkowe
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,250425799.94,,2025-Q1,Renty rodzinne rolnicze
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,1862811.17,,2025-Q1,Renty rodzinne za przekazane gospodarstwo rolne Państwu
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,5228968.91,,2025-Q1,Renty rodzinne za przekazane gospodarstwo rolne następcy
TABLICA 5 (17). WYDATKI NA ŚWIADCZENIA EMERYTALNO-RENTOWE WEDŁUG RODZAJÓW ŚWIADCZEŃ,2025-Q1,2338420.34,,2025-Q1,Renty rodzinne niezwiązane z przekazaniem gospodarstwa rolnego
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,11296,OGÓŁEM,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,198,dolnośląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,978,kujawsko-pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,1298,lubelskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,138,lubuskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,801,łódzkie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,1471,małopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,1391,mazowieckie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,162,opolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,754,podkarpackie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,915,podlaskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,520,pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,277,śląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,670,świętokrzyskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,498,warmińsko-mazurskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,1096,wielkopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych z poprzedniego okresu,129,zachodniopomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,91839,OGÓŁEM,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,2829,dolnośląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,6144,kujawsko-pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,11551,lubelskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,886,lubuskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,8434,łódzkie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,6510,małopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,14845,mazowieckie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,1724,opolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,4690,podkarpackie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,9371,podlaskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,2850,pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,1930,śląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,4719,świętokrzyskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,3705,warmińsko-mazurskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,9644,wielkopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba zarejestrowanych wniosków,2007,zachodniopomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,79889,OGÓŁEM,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,2699,dolnośląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,4814,kujawsko-pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,10301,lubelskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,866,lubuskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,6743,łódzkie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,6045,małopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,12402,mazowieckie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,1367,opolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,4127,podkarpackie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,8726,podlaskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,2345,pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,1732,śląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,4023,świętokrzyskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,3462,warmińsko-mazurskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,8633,wielkopolskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba załatwionych wniosków,1604,zachodniopomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych do załatwienia w następnym okresie,23246,OGÓŁEM,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych do załatwienia w następnym okresie,328,dolnośląskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych do załatwienia w następnym okresie,2308,kujawsko-pomorskie,2025-Q1,
TABLICA 5. WNIOSKI O PRZYZNANIE EMERYTUR I RENT WEDŁUG WOJEWÓDZTW,Liczba wniosków pozostałych do załatwienia w następnym okresie,2548,lubelskie,2025-Q1,
