TABLICA 12 (24). ZASI£KI POGRZEBOWE WED£UG WOJEW”DZTW,kwota wyp≥at w pln po cz≥onkach rodzin,164000,wielkopolskie,,;;;
TABLICA 12 (24). ZASI£KI POGRZEBOWE WED£UG WOJEW”DZTW,kwota wyp≥at w pln po cz≥onkach rodzin,56000,zachodniopomorskie,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,4097,OG”£EM,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,35,åwiadczenia zbiegowe,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,3800,do paÒstw UE/EFTA i Wielkiej Brytanii razem,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,127,Austria,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,73,Belgia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Bu≥garia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Chorwacja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Cypr,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,1,Czechy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,1,Dania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Estonia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,1,Finlandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,23,Francja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,2,Grecja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,22,Hiszpania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,10,Holandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,12,Irlandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Islandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Lichtenstein,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,3,Litwa,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,2,Luksemburg,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,2,£otwa,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Malta,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,3428,Niemcy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,12,Norwegia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Portugalia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Rumunia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,4,S≥owacja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,S≥owenia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,2,Szwajcaria,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,15,Szwecja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,WÍgry,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,41,Wielka Brytania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,19,W≥ochy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,297,do paÒstw objÍtych umowami dwustronnymi razem,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,61,Australia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Bia≥oruú,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Izrael,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,81,Kanada,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Quebec,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Korea,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Macedonia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Mo≥dawia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Mongolia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,-,Turcja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,13,Ukraina,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty PrzeciÍtna liczba osÛb,142,USA,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,13789343.18,OG”£EM,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,258824.04,åwiadczenia zbiegowe,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,12203902.61,do paÒstw UE/EFTA i Wielkiej Brytanii razem,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,403159.84,Austria,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,451007.86,Belgia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Bu≥garia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Chorwacja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Cypr,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,6200.51,Czechy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,5440.83,Dania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Estonia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,5440.83,Finlandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,136721.94,Francja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,6720.87,Grecja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,115248.12,Hiszpania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,42841.34,Holandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,65434.26,Irlandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Islandia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Lichtenstein,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,14801.07,Litwa,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,5375.28,Luksemburg,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,10881.66,£otwa,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Malta,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,10436075.57,Niemcy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,45334.87,Norwegia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Portugalia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,Rumunia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,16233.94,S≥owacja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,S≥owenia,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,8313.86,Szwajcaria,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,64594.39,Szwecja,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,-,WÍgry,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,267623.19,Wielka Brytania,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,96452.38,W≥ochy,,;;;
TABLICA 12. åWIADCZENIA EMERYTALNO RENTOWE TRANSFEROWANE DO POSZCZEG”LNYCH PA—STW UE EFTA I WIELKIEJ BRYTANII  ORAZ DO INNYCH PA—STW NA PODSTAWIE UM”W DWUSTRONNYCH ,Razem emerytury i renty Kwota wyp≥at w z≥,1585440.57,do paÒstw objÍtych umowami dwustronnymi razem,,;;;
